Region,Country,Item Type,Sales Channel,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
2,73,1,1,5/28/2010,669165933,6/27/2010,9925,255.28,159.42
2,3,2,1,7/7/2014,240470397,7/11/2014,9389,47.45,31.79
2,3,3,1,6/9/2013,450563752,7/2/2013,682,205.7,117.11
2,20,4,1,6/30/2010,647876489,8/1/2010,9905,109.28,35.84
2,65,1,2,2/4/2015,547995746,2/21/2015,2974,255.28,159.42
2,19,2,2,10/28/2014,217221009,11/15/2014,9379,47.45,31.79
2,56,5,2,7/20/2013,670854651,8/7/2013,9654,437.2,263.33
2,29,6,2,10/13/2014,347140347,11/10/2014,5398,9.33,6.92
2,46,6,2,9/8/2014,142278373,10/4/2014,2187,9.33,6.92
2,18,8,2,7/31/2012,322067916,9/11/2012,5908,421.89,364.69
2,3,9,2,10/27/2015,158535134,11/25/2015,2924,651.21,524.96
