Region,Country,Item Type,Sales Channel,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
5,35,4,1,10/30/2010,705784308,11/17/2010,6116,109.28,35.84
5,50,5,1,7/5/2013,231145322,8/16/2013,9892,437.2,263.33
5,59,3,2,3/25/2013,844530045,3/28/2013,4063,205.7,117.11
5,33,4,2,9/18/2012,663110148,10/8/2012,7884,109.28,35.84
5,5,5,2,2/6/2010,382392299,2/25/2010,7234,437.2,263.33
5,27,5,2,11/15/2016,286959302,12/8/2016,6489,437.2,263.33
5,30,6,2,4/30/2012,513417565,5/18/2012,522,9.33,6.92
5,35,6,2,8/14/2015,816200339,9/30/2015,673,9.33,6.92
5,70,6,2,11/22/2011,162052476,12/3/2011,3784,9.33,6.92
5,5,9,2,6/13/2012,423331391,7/24/2012,2021,651.21,524.96
