Region,Country,Item Type,Sales Channel,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
1,68,5,1,11/19/2016,419123971,12/18/2016,6952,437.2,263.33
1,39,6,1,11/11/2011,810711038,12/28/2011,6267,9.33,6.92
1,45,7,1,1/16/2015,177713572,3/1/2015,8250,668.27,502.54
1,72,7,1,12/30/2010,441619336,1/20/2011,3830,668.27,502.54
1,43,10,1,2/19/2014,832401311,2/23/2014,4901,81.73,56.67
1,32,12,1,9/15/2011,789176547,10/23/2011,3732,154.06,90.93
1,6,4,2,1/13/2017,187310731,3/1/2017,8263,109.28,35.84
1,45,4,2,11/14/2015,223359620,11/18/2015,5930,109.28,35.84
1,8,9,2,4/1/2012,320009267,5/8/2012,6708,651.21,524.96
1,72,9,2,4/23/2013,462405812,5/20/2013,5010,651.21,524.96
1,31,12,2,6/24/2011,814711606,7/12/2011,124,154.06,90.93
